Country,Year,Scenario,CO2_Projected
Germany,2030,Moderate,652.6563108200249
Germany,2030,Aggressive,558.6916617467189
Germany,2031,BAU,715.1011657410586
Germany,2031,Moderate,633.4669192186811
Germany,2031,Aggressive,525.665067912736
Germany,2032,BAU,708.2087611892878
Germany,2032,Moderate,614.8141084574494
Germany,2032,Aggressive,494.5685913588313
Germany,2033,BAU,701.3508186602758
Germany,2033,Moderate,596.6833423736259
Germany,2033,Aggressive,465.290462600537
Germany,2034,BAU,694.5271658439087
Germany,2034,Moderate,579.0604702609543
Germany,2034,Aggressive,437.72533631082916
Germany,2035,BAU,687.7376312916236
Germany,2035,Moderate,561.9317168016396
Germany,2035,Aggressive,411.77392435859934
Germany,2036,BAU,680.9820444121
Germany,2036,Moderate,545.2836722584583
Germany,2036,Aggressive,387.3426497002146
Germany,2037,BAU,674.2602354669739
Germany,2037,Moderate,529.1032829202984
Germany,2037,Aggressive,364.34331994436405
Germany,2038,BAU,667.5720355665734
Germany,2038,Moderate,513.3778417946372
Germany,2038,Aggressive,342.6928194768845
Germany,2039,BAU,660.917276665675
Germany,2039,Moderate,498.0949795406241
Germany,2039,Aggressive,322.3128190950257
Germany,2040,BAU,654.295791559281
Germany,2040,Moderate,483.24265563660236
Germany,2040,Aggressive,303.1295021598487
India,2025,BAU,2812.4409652445406
India,2025,Moderate,2812.4409652445406
India,2025,Aggressive,2812.4409652445406
India,2026,BAU,2931.0530617904496
India,2026,Moderate,2872.4320005546406
India,2026,Aggressive,2784.500408700927
India,2027,BAU,3049.0720978536287
India,2027,Moderate,2928.3288427786247
India,2027,Aggressive,2751.7875683129
India,2028,BAU,3166.5010387364923
India,2028,Moderate,2980.2854456504765
India,2028,Aggressive,2714.8788280866997
India,2029,BAU,3283.342834914941
India,2029,Moderate,3028.4508892896774
India,2029,Aggressive,2674.303259930937
India,2030,BAU,3399.600422112498
India,2030,Moderate,3072.9695223575454
India,2030,Aggressive,2630.546001747604
India,2031,BAU,3515.276721374067
India,2031,Moderate,3113.9811002577994
India,2031,Aggressive,2584.051411184914
India,2032,BAU,3630.374639139329
India,2032,Moderate,3151.620919488198
India,2032,Aggressive,2535.2260093038813
India,2033,BAU,3744.8970673157633
India,2033,Moderate,3186.019948247223
India,2033,Aggressive,2484.441227531768
India,2034,BAU,3858.846883351316
India,2034,Moderate,3217.304953397063
India,2034,Aggressive,2432.0359704498146
India,2035,BAU,3972.226950306691
India,2035,Moderate,3245.5986238814476
India,2035,Aggressive,2378.319006186827
India,2036,BAU,4085.040116927289
India,2036,Moderate,3271.019690694292
India,2036,Aggressive,2323.5711954612816
India,2037,BAU,4197.289217714784
India,2037,Moderate,3293.6830434925464
India,2037,Aggressive,2268.0475696298004
India,2038,BAU,4308.977072998342
India,2038,Moderate,3313.6998439441936
India,2038,Aggressive,2211.979267456592
India,2039,BAU,4420.106489005481
India,2039,Moderate,3331.1776358999023
India,2039,Aggressive,2155.575339714165
India,2040,BAU,4530.680257932586
India,2040,Moderate,3346.2204524745166
India,2040,Aggressive,2099.024430158095
Japan,2025,BAU,1132.5512923789863
Japan,2025,Moderate,1132.5512923789863
Japan,2025,Aggressive,1132.5512923789863
Japan,2026,BAU,1129.5744146124716
Japan,2026,Moderate,1106.982926320222
Japan,2026,Aggressive,1073.095693881848
Japan,2027,BAU,1126.6124212347895
Japan,2027,Moderate,1081.9985693538918
Japan,2027,Aggressive,1016.7677101643975
Japan,2028,BAU,1123.6652378239955
Japan,2028,Moderate,1057.5847325180418
Japan,2028,Aggressive,963.4024832793481
Japan,2029,BAU,1120.7327903302555
Japan,2029,Moderate,1033.7282416685835
Japan,2029,Aggressive,912.8438623039325
Japan,2030,BAU,1117.8150050739844
Japan,2030,Moderate,1010.4162300614719
Japan,2030,Aggressive,864.9439425777147
Japan,2031,BAU,1114.9118087439947
Japan,2031,Moderate,987.6361311111688
Japan,2031,Aggressive,819.5626293697612
Japan,2032,BAU,1112.0231283956548
Japan,2032,Moderate,965.3756713211635
Japan,2032,Aggressive,776.5672246775342
Japan,2033,BAU,1109.1488914490565
Japan,2033,Moderate,943.622863382436
Japan,2033,Aggressive,735.8320359289183
Japan,2034,BAU,1106.2890256871913
Japan,2034,Moderate,922.3659994358395
Japan,2034,Aggressive,697.2380054241652
Japan,2035,BAU,1103.4434592541354
Japan,2035,Moderate,901.5936444944807
Japan,2035,Aggressive,660.6723594164297
Japan,2036,BAU,1100.6121206532448
Japan,2036,Moderate,881.29463002227
Japan,2036,Aggressive,626.0282757881556
Japan,2037,BAU,1097.7949387453586
Japan,2037,Moderate,861.4580476649031
Japan,2037,Aggressive,593.2045693360409
Japan,2038,BAU,1094.991842747012
Japan,2038,Moderate,842.073243129631
Japan,2038,Aggressive,562.1053937298151
Japan,2039,BAU,1092.202762228657
Japan,2039,Moderate,823.1298102102555
Japan,2039,Aggressive,532.6399592597841
Japan,2040,BAU,1089.4276271128938
Japan,2040,Moderate,804.6175849538815
Japan,2040,Aggressive,504.72226553515327
Russia,2025,BAU,1712.517350126645
Russia,2025,Moderate,1712.517350126645
Russia,2025,Aggressive,1712.517350126645
Russia,2026,BAU,1714.5237770318329
Russia,2026,Moderate,1680.2333014911962
Russia,2026,Aggressive,1628.797588180241
Russia,2027,BAU,1716.5201718024944
Russia,2027,Moderate,1648.5459729991155
Russia,2027,Aggressive,1549.1594550517511
Russia,2028,BAU,1718.5065845993026
Russia,2028,Moderate,1617.4446493721866
Russia,2028,Aggressive,1473.4045829708268
Russia,2029,BAU,1720.4830653321271
Russia,2029,Moderate,1586.9187992815537
Russia,2029,Aggressive,1401.3442097321756
Russia,2030,BAU,1722.449663661287
Russia,2030,Moderate,1556.9580724246025
Russia,2030,Aggressive,1332.79871554439
Russia,2031,BAU,1724.4064289988016
Russia,2031,Moderate,1527.5522966414865
Russia,2031,Aggressive,1267.5971820986335
Russia,2032,BAU,1726.3534105096287
Russia,2032,Moderate,1498.691475070965
Russia,2032,Aggressive,1205.5769727975173
Russia,2033,BAU,1728.2906571129013
Russia,2033,Moderate,1470.365783345232
Russia,2033,Aggressive,1146.5833331346978
Russia,2034,BAU,1730.2182174831576
Russia,2034,Moderate,1442.5655668233994
Russia,2034,Aggressive,1090.4690102635254
Russia,2035,BAU,1732.1361400515627
Russia,2035,Moderate,1415.2813378632911
Russia,2035,Aggressive,1037.0938908386522
Russia,2036,BAU,1734.0444730071258
Russia,2036,Moderate,1388.5037731312138
Russia,2036,Aggressive,986.324656257938
Russia,2037,BAU,1735.943264297911
Russia,2037,Moderate,1362.2237109493503
Russia,2037,Aggressive,938.0344544733828
Russia,2038,BAU,1737.8325616322422
Russia,2038,Moderate,1336.4321486804336
Russia,2038,Aggressive,892.1025875792536
Russia,2039,BAU,1739.712412479902
Russia,2039,Moderate,1311.1202401493383
Russia,2039,Aggressive,848.4142144231637
Russia,2040,BAU,1741.5828640733232
Russia,2040,Moderate,1286.2792931012466
Russia,2040,Aggressive,806.8600675216759
South Africa,2025,BAU,454.8566382020709
South Africa,2025,Moderate,454.8566382020709
South Africa,2025,Aggressive,454.8566382020709
South Africa,2026,BAU,456.1025156927964
South Africa,2026,Moderate,446.98046537894044
South Africa,2026,Aggressive,433.29738990815656
South Africa,2027,BAU,457.24763686630047
South Africa,2027,Moderate,439.14063044639494
South Africa,2027,Aggressive,412.66599227183616
South Africa,2028,BAU,458.3001500642425
South Africa,2028,Moderate,431.3484348392645
South Africa,2028,Aggressive,392.93509116132986
South Africa,2029,BAU,459.2675446574734
South Africa,2029,Moderate,423.6137601134315
South Africa,2029,Aggressive,374.07628554566617
South Africa,2030,BAU,460.1567043381713
South Africa,2030,Moderate,415.94521483822183
South Africa,2030,Aggressive,356.0604860797004
South Africa,2031,BAU,460.97395610214727
South Africa,2031,Moderate,408.35026678982314
South Africa,2031,Aggressive,338.8582169200131
South Africa,2032,BAU,461.7251152698657
South Africa,2032,Moderate,400.83536190705536
South Africa,2032,Aggressive,322.4398685361329
South Africa,2033,BAU,462.415526866535
South Africa,2033,Moderate,393.40603132572215
South Africa,2033,Aggressive,306.7759082685556
South Africa,2034,BAU,463.05010365571707
South Africa,2034,Moderate,386.066987677088
South Africa,2034,Aggressive,291.83705450193474
South Africa,2035,BAU,463.6333610970916
South Africa,2035,Moderate,378.82221171830815
South Africa,2035,Aggressive,277.5944195520746
South Africa,2036,BAU,464.1694494771239
South Africa,2036,Moderate,371.67503025660653
South Africa,2036,Aggressive,264.01962569450154
South Africa,2037,BAU,464.6621834412693
South Africa,2037,Moderate,364.6281862334914
South Africa,2037,Aggressive,251.08489817783644
